Location,Delivery Charges,NCM Locations
,,PATERWA SUGAULI
,,PATHARI
,,PATICHAUR
,,PATO
,,PHALEBAS
,,PHALEBISAUNE
,,PHAPARBARI
,,PHARPING
,,PHARSATIKAR
,,PHEDIKHOLA
,,PHETA BAZAR
,,PHIDIM
,,PHULBARI KAILALI
,,PHUNGLING
,,PILUWA
,,PIPRA
,,PIPRAHAWA
,,POKHARA
,,POKHARIYA
,,PRAKASHPUR
,,PRASAUNI
,,PUMDI POKHARA
,,PUNARBAS
,,PURANCHAUR
,,PUTALI CHOWK
,,PUTALIBAZAR
,,PYUTHAN KHALANGA
,,RAGAICHA
,,RAJAHAR
,,RAJAPUR
,,RAJARANI
,,RAJBIRAJ
,,RAJDEVI
,,RAJGADH
,,RAMAILO
,,RAMECHHAP BAZAR
,,RAMGOPALPUR
,,RAMNAGAR
,,RAMNAGAR KHAIRAWA
,,RAMPUR PALPA
,,RAMTAR
,,RANGELI
,,RANKE
,,RATAN PUR
,,RIDI
,,RUKUM RADI BAZAAR
,,RUKUMKOT
,,RUPANI
,,RUPNAGAR
,,SABAILA
,,SAGACHOWK CHAUTRA
,,SAILUNG
,,SAKHADA CHHINNAMASTA
,,SAKHUWA PRASAUNI
,,SAKUWA MAHENDRANAGAR
,,SALJHANDI
,,SALLERI
,,SALLI BAZAR
,,SALYAN KHALANGA
,,SAMANPUR
,,SAMSHERGUNJ
,,SAMSI
,,SANDHIKHARKA
,,SANFEBAGAR
,,SANGRAMPUR
,,SANISCHARE
,,SANKHU
,,SAPAHI
,,SARANGKOT
,,SARDI
,,SARUWATHA
,,SATDOBATO
,,SATTI
,,SAURAHA
,,SEDHAWA
,,SHAKTIKHOR
,,SHAMJHANA
,,SHANTINAGAR JHAPA
,,SHANTIPUR
,,SHARANAMATI
,,SHIVAGUNJ
,,SHREE ANTU
,,SIDHUWA
,,SILGADHI
,,SIMALTARI
,,SIMARA
,,SIMIKOT
,,SIMRANGADH
,,SINDHULI
,,SINGA TATOPANI
,,SINGATI
,,SIRAHA
,,SISANIYA
,,SONAMA
,,SUBARNA
,,SUKHIPUR
,,SUKKHAD
,,SULICHAUR
,,SUNAWAL
,,SUNDARBAZAR
,,SUNDARIJAL
,,SUNJHODA
,,SURKHET
,,SURUNGA
,,SURYABINAYAK
,,SURYAPURA
,,SWOYAMBHU
,,SYAULE BAZAR KAILALI
,,TAMGHAS
,,TAMNAGAR
,,TANDI
,,TANSEN
,,TARAKHOLA BAGLUNG
,,TARAPATTI SIRSIYA
,,TARATAL
,,TAULIHAWA
,,TERHATHUM BASANTAPUR
,,THAKURDUWARA
,,THANKOT
,,THARMARE
,,THARPU TANAHUN
,,THORI
,,THUTIPIPAL
,,TIGER TOP HILL
,,TIKAPUR
,,TINKORIYA
,,TINKUNE
,,TINPIPLE
,,TOKHA
,,TOPA BAZAR
,,TRISHULI
,,TULSIPUR
,,TULSIYAHI
,,TUMLINGTAR
,,URLABARI
,,WALING
,,WAMITAKSAR
,,WANA
,,YADUKUSH
